deployment0,serial0,deployment1,serial1,overlap_start,overlap_end,n_points,mean_diff,std0,std1,within_uncertainty
NTAS11,2323,NTAS12,1877,,,0,,,,
NTAS11,2324,NTAS12,1877,,,0,,,,
NTAS12,1877,NTAS13,2323,2013-10-23 03:00:00,2013-10-25 07:30:00,71,0.004683098591549293,0.0006791456703091796,0.0018410425096259727,False
NTAS12,1877,NTAS13,2324,2013-10-23 03:00:00,2013-10-25 07:30:00,71,0.005614084507042255,0.0006791456703091796,0.0017875922180565224,False
NTAS13,2323,NTAS14,11392,2014-12-13 22:30:00,2014-12-15 11:30:00,75,0.0062271111111111095,0.004007637153679901,0.00259511845634628,False
NTAS13,2323,NTAS14,11393,2014-12-13 22:30:00,2014-12-15 11:30:00,75,0.008691999999999972,0.004007637153679901,0.0025914311218435434,False
NTAS13,2324,NTAS14,11392,2014-12-13 22:30:00,2014-12-15 11:30:00,75,0.00542711111111112,0.004049899861587783,0.00259511845634628,False
NTAS13,2324,NTAS14,11393,2014-12-13 22:30:00,2014-12-15 11:30:00,75,0.007891999999999984,0.004049899861587783,0.0025914311218435434,False
NTAS14,11392,NTAS16,11392,,,0,,,,
NTAS14,11392,NTAS16,11393,,,0,,,,
NTAS14,11393,NTAS16,11392,,,0,,,,
NTAS14,11393,NTAS16,11393,,,0,,,,
NTAS16,11392,NTAS17,11380,2018-06-11 00:30:00,2018-06-12 12:00:00,72,0.0020181944444444453,0.002112999056318453,0.002672322069805606,True
NTAS16,11392,NTAS17,11381,2018-06-11 00:30:00,2018-06-12 12:00:00,72,0.001971203703703745,0.002112999056318453,0.0026718886948244934,True
NTAS16,11393,NTAS17,11380,2018-06-11 00:30:00,2018-06-12 12:00:00,72,0.0024405555555555383,0.0021262960578998062,0.002672322069805606,False
NTAS16,11393,NTAS17,11381,2018-06-11 00:30:00,2018-06-12 12:00:00,72,0.0023935648148148384,0.0021262960578998062,0.0026718886948244934,False
NTAS17,11380,NTAS18,11392,2020-01-10 21:30:00,2020-01-16 10:30:00,267,-0.014073695380774028,0.004306571871313781,0.004632574710900567,False
NTAS17,11380,NTAS18,11393,2020-01-10 21:30:00,2020-01-16 10:30:00,267,-0.013213333333333344,0.004306571871313781,0.004634589423794984,False
NTAS17,11381,NTAS18,11392,2020-01-10 21:30:00,2020-01-16 10:30:00,267,-0.013997965043695373,0.004294531741498275,0.004632574710900567,False
NTAS17,11381,NTAS18,11393,2020-01-10 21:30:00,2020-01-16 10:30:00,267,-0.013137602996254688,0.004294531741498275,0.004634589423794984,False
NTAS18,11392,NTAS19,12246,2020-10-22 23:00:00,2020-10-24 12:00:00,75,0.01141546666666668,0.0012770944259683995,0.0007209946983590049,False
NTAS18,11392,NTAS19,12247,2020-10-22 23:00:00,2020-10-24 12:00:00,75,0.011946488888888919,0.0012770944259683995,0.0007203419133291971,False
NTAS18,11393,NTAS19,12246,2020-10-22 23:00:00,2020-10-24 12:00:00,75,0.010617466666666674,0.0012605853235797492,0.0007209946983590049,False
NTAS18,11393,NTAS19,12247,2020-10-22 23:00:00,2020-10-24 12:00:00,75,0.011148488888888914,0.0012605853235797492,0.0007203419133291971,False
NTAS19,12246,NTAS20,11392,2021-11-12 23:00:00,2021-11-13 14:00:00,31,-0.01685833333333332,0.0005421835762987779,0.0015604279068994005,False
NTAS19,12246,NTAS20,11393,2021-11-12 23:00:00,2021-11-13 14:00:00,31,-0.016801881720430088,0.0005421835762987779,0.001555215491461439,False
NTAS19,12247,NTAS20,11392,2021-11-12 23:00:00,2021-11-13 14:00:00,31,-0.017391935483870982,0.000548655848124222,0.0015604279068994005,False
NTAS19,12247,NTAS20,11393,2021-11-12 23:00:00,2021-11-13 14:00:00,31,-0.01733548387096775,0.000548655848124222,0.001555215491461439,False
